imdb_title_id,original_title,year,genre,duration,language,production_company,avg_vote,votes,budget,Good_or_Bad_Movie
tt7939428,10 Things We Should Do Before We Break Up,2020,Romance,74,English,,4.7,486,25000000,0
tt10740584,Abigail Haunting,2020,Horror,85,English,Indie Film Factory,3.8,398,60000,0
tt11032990,Malibu Rescue: The Next Wave,2020,"Action, Adventure, Comedy",68,English,Pacific Bay Entertainment,4.5,386,5000000,0
tt8461224,The Tax Collector,2020,"Action, Crime, Drama",95,English,Cedar Park Entertainment,4.7,4862,30000000,0
tt11547496,Camp Blood 8: Revelations,2020,Horror,82,English,Sterling Entertainment,2.2,114,10000,0
tt11742070,Walk Away,2020,"Sci-Fi, Thriller",91,English,454 Productions,3.9,140,45000,0
tt11845692,Tales from Six Feet Under,2020,"Comedy, Horror",45,English,,7.6,223,1500,1
tt11946300,Deep Blue Sea 3,2020,"Action, Horror, Sci-Fi",99,English,Roserock Films,4.6,3101,5000000,0
tt12057580,Amityville Island,2020,"Action, Horror, Sci-Fi",70,English,Polonia Brothers Entertainment,1.7,142,30000,0
tt8244784,The Hunt,2020,"Action, Horror, Thriller",90,English,Blumhouse Productions,6.5,52794,14000000,0
tt12158538,Cry Havoc,2020,Horror,85,English,Samera Entertainment,3.2,136,4000000,0
tt1634106,Bloodshot,2020,"Action, Drama, Sci-Fi",109,"English, Persian",Columbia Pictures,5.7,49627,45000000,0
tt5774060,Underwater,2020,"Action, Horror, Sci-Fi",95,English,20th Century Fox Film Corporation,5.8,48505,80000000,0
tt2420124,Wendy,2020,"Drama, Fantasy",111,English,Fox Searchlight Pictures,5.7,1405,6000000,0
tt5761986,The Orchard,2020,"Crime, Horror, Thriller",81,English,BondIt Media Capital,3.3,330,2500000,0
tt5747714,Unbound,2020,"Action, Crime, Drama",97,English,Rahaman Studios,4.5,182,80000,0
tt8145202,The F**k-It List,2020,Comedy,103,English,Awesomeness Films,5.1,3515,5000000,0
tt2819446,False Colors,2020,Thriller,122,English,Remote Station Entertainment,4.7,143,275000,0
tt5717194,Disturbing the Peace,2020,"Action, Adventure, Thriller",91,English,Grodnik /Aloe Productions,3.2,1265,5000000,0
tt3278540,A Nice Girl Like You,2020,"Comedy, Romance",94,English,SPR Media,5.1,905,3600000,0
tt7541838,Sex and the Future,2020,Comedy,90,English,Don Kap Productions,1.9,248,1000000,0
tt3344686,Viena and the Fantomes,2020,"Drama, Music, Romance",96,English,Lola Pictures,4.0,349,2300000,0
tt5575918,Human Zoo,2020,"Horror, Reality-TV, Thriller",109,English,Seymore Films,2.1,241,86000,0
tt3547306,Cut Throat City,2020,"Action, Crime, Drama",123,English,Rumble Riot Pictures,4.3,141,8000000,0
tt5259822,Tesla,2020,"Biography, Drama",102,English,Passage Pictures (II),5.1,2277,5000000,0
tt5079362,Reality Queen!,2020,Comedy,84,English,London Film,3.2,217,5000000,0
tt4411584,The Secret: Dare to Dream,2020,"Drama, Romance",107,English,TRI G,6.3,1147,21000000,0
tt7765778,American Wisper,2020,"Crime, Thriller",91,English,Open Communications Inc.,6.4,1327,500000,0
tt7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,"Action, Adventure, Crime",109,"English, Chinese",Clubhouse Pictures (II),6.1,137373,84500000,0
tt8710832,Space,2020,"Horror, Sci-Fi",93,English,American Courtyard Productions,1.7,244,11000,0
tt11685574,Shifter,2020,"Horror, Sci-Fi, Thriller",85,English,Planet Thunder Productions,3.3,203,30000,0
tt4907206,Turnt,2020,Drama,85,English,Fresh Line Cinema,8.2,718,1000000,1
tt10332854,Alone,2020,Thriller,81,English,Broken Cage Studio,4.7,514,200000,0
tt6820324,Timmy Failure: Mistakes Were Made,2020,"Adventure, Comedy, Drama",99,English,Etalon Film,6.1,1762,45000000,0
tt7236054,Variant,2020,"Sci-Fi, Thriller",91,English,Culture Shock Productions,4.0,135,1000000,0
tt0983946,Fantasy Island,2020,"Action, Adventure, Fantasy",109,English,Columbia Pictures,4.9,26823,7000000,0
tt9302994,Soldier's Heart,2020,Western,140,English,Feifer Worldwide,6.2,724,5000000,0
tt9248110,Allagash,2020,Thriller,89,English,Allagash,5.0,720,475000,0
tt9208444,Impractical Jokers: The Movie,2020,Comedy,92,English,Funny or Die,5.9,4105,3000000,0
tt6587640,Trolls World Tour,2020,"Animation, Adventure, Comedy",90,English,DreamWorks Animation,6.1,11890,90000000,0
tt2180583,Unbelievable!!!!!,2020,"Comedy, Sci-Fi",105,English,ArchAngel Films,4.1,507,3750000,0
